% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
126	1	0	2	0	0	349	0	1	0
127	1	0	3	0	0	349	0	1	0
128	1	0	4	0	0	349	0	1	0
129	1	0	1	0	0	349	0	1	0
130	1	0	5	0	0	349	0	1	0
131	1	0	6	0	0	349	0	1	0
132	1	0	7	0	0	349	0	1	0
133	1	0	8	0	0	349	0	1	0
134	1	0	9	0	0	349	0	1	0
135	1	0	10	0	0	349	0	1	0
136	1	0	11	0	0	349	0	1	0
137	1	0	12	0	0	349	0	1	0
138	1	0	13	0	0	349	0	1	0
139	1	0	14	0	0	349	0	1	0
154	1	0	2	0	0	349	0	1	0
155	1	0	3	0	0	349	0	1	0
156	1	0	4	0	0	349	0	1	0
157	1	0	1	0	0	349	0	1	0
158	1	0	5	0	0	349	0	1	0
159	1	0	6	0	0	349	0	1	0
160	1	0	7	0	0	349	0	1	0
161	1	0	8	0	0	349	0	1	0
162	1	0	9	0	0	349	0	1	0
163	1	0	10	0	0	349	0	1	0
164	1	0	11	0	0	349	0	1	0
165	1	0	12	0	0	349	0	1	0
166	1	0	13	0	0	349	0	1	0
167	1	0	14	0	0	349	0	1	0
182	1	0	2	0	0	349	0	1	0
183	1	0	3	0	0	349	0	1	0
184	1	0	4	0	0	349	0	1	0
185	1	0	1	0	0	349	0	1	0
186	1	0	5	0	0	349	0	1	0
187	1	0	6	0	0	349	0	1	0
188	1	0	7	0	0	349	0	1	0
189	1	0	8	0	0	349	0	1	0
190	1	0	9	0	0	349	0	1	0
191	1	0	10	0	0	349	0	1	0
192	1	0	11	0	0	349	0	1	0
193	1	0	12	0	0	349	0	1	0
194	1	0	13	0	0	349	0	1	0
195	1	0	14	0	0	349	0	1	0
210	1	0	2	0	0	349	0	1	0
211	1	0	3	0	0	349	0	1	0
212	1	0	4	0	0	349	0	1	0
213	1	0	1	0	0	349	0	1	0
214	1	0	5	0	0	349	0	1	0
215	1	0	6	0	0	349	0	1	0
216	1	0	7	0	0	349	0	1	0
217	1	0	8	0	0	349	0	1	0
218	1	0	9	0	0	349	0	1	0
219	1	0	10	0	0	349	0	1	0
220	1	0	11	0	0	349	0	1	0
221	1	0	12	0	0	349	0	1	0
222	1	0	13	0	0	349	0	1	0
223	1	0	14	0	0	349	0	1	0
238	1	0	2	0	0	349	0	1	0
239	1	0	3	0	0	349	0	1	0
240	1	0	4	0	0	349	0	1	0
241	1	0	1	0	0	349	0	1	0
242	1	0	5	0	0	349	0	1	0
243	1	0	6	0	0	349	0	1	0
244	1	0	7	0	0	349	0	1	0
245	1	0	8	0	0	349	0	1	0
246	1	0	9	0	0	349	0	1	0
247	1	0	10	0	0	349	0	1	0
248	1	0	11	0	0	349	0	1	0
249	1	0	12	0	0	349	0	1	0
250	1	0	13	0	0	349	0	1	0
251	1	0	14	0	0	349	0	1	0
266	1	0	2	0	0	349	0	1	0
267	1	0	3	0	0	349	0	1	0
268	1	0	4	0	0	349	0	1	0
269	1	0	1	0	0	349	0	1	0
270	1	0	5	0	0	349	0	1	0
271	1	0	6	0	0	349	0	1	0
272	1	0	7	0	0	349	0	1	0
273	1	0	8	0	0	349	0	1	0
274	1	0	9	0	0	349	0	1	0
275	1	0	10	0	0	349	0	1	0
276	1	0	11	0	0	349	0	1	0
277	1	0	12	0	0	349	0	1	0
278	1	0	13	0	0	349	0	1	0
279	1	0	14	0	0	349	0	1	0
294	1	0	2	0	0	349	0	1	0
295	1	0	3	0	0	349	0	1	0
296	1	0	4	0	0	349	0	1	0
297	1	0	1	0	0	349	0	1	0
298	1	0	5	0	0	349	0	1	0
299	1	0	6	0	0	349	0	1	0
300	1	0	7	0	0	349	0	1	0
301	1	0	8	0	0	349	0	1	0
302	1	0	9	0	0	349	0	1	0
303	1	0	10	0	0	349	0	1	0
304	1	0	11	0	0	349	0	1	0
305	1	0	12	0	0	349	0	1	0
306	1	0	13	0	0	349	0	1	0
307	1	0	14	0	0	349	0	1	0
322	1	0	2	0	0	349	0	1	0
323	1	0	3	0	0	349	0	1	0
324	1	0	4	0	0	349	0	1	0
325	1	0	1	0	0	349	0	1	0
326	1	0	5	0	0	349	0	1	0
327	1	0	6	0	0	349	0	1	0
328	1	0	7	0	0	349	0	1	0
329	1	0	8	0	0	349	0	1	0
330	1	0	9	0	0	349	0	1	0
331	1	0	10	0	0	349	0	1	0
332	1	0	11	0	0	349	0	1	0
333	1	0	12	0	0	349	0	1	0
334	1	0	13	0	0	349	0	1	0
335	1	0	14	0	0	349	0	1	0
350	1	0	2	0	28	9422	0	1	0
351	1	0	3	0	28	9422	0	1	0
